prop_min,prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.05,0.005555556,0.75,0.001333333,0.013333333,0.011111111,0.014666667
0.05,0.005555556,0.8,0.00125,0.0125,0.011111111,0.01375
0.05,0.005555556,0.85,0.001176471,0.011764706,0.011111111,0.012941176
0.05,0.005555556,0.9,0.001111111,0.011111111,0.011111111,0.012222222
0.05,0.005555556,0.95,0.001052632,0.010526316,0.011111111,0.011578947
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.005555556,0.05,0,0.02,0.011111111,0.02
0.05,0.005555556,0.1,0.01,0.01,0.011111111,0.02
0.05,0.005555556,0.15,0.006666667,0.02,0.011111111,0.026666667
0.05,0.005555556,0.2,0.005,0.015,0.011111111,0.02
0.05,0.005555556,0.25,0.004,0.016,0.011111111,0.02
0.05,0.005555556,0.3,0.003333333,0.013333333,0.011111111,0.016666667
0.05,0.005555556,0.35,0.002857143,0.014285714,0.011111111,0.017142857
0.05,0.005555556,0.4,0.005,0.0175,0.011111111,0.0225
0.05,0.005555556,0.45,0.004444444,0.015555556,0.011111111,0.02
0.05,0.005555556,0.5,0.004,0.014,0.011111111,0.018
0.05,0.005555556,0.55,0.003636364,0.012727273,0.011111111,0.016363636
0.05,0.005555556,0.6,0.003333333,0.011666667,0.011111111,0.015
0.05,0.005555556,0.65,0.003076923,0.010769231,0.011111111,0.013846154
0.05,0.005555556,0.7,0.002857143,0.01,0.011111111,0.012857143
0.05,0.005555556,0.75,0.002666667,0.009333333,0.011111111,0.012
0.05,0.005555556,0.8,0.0025,0.00875,0.011111111,0.01125
0.05,0.005555556,0.85,0.002352941,0.008235294,0.011111111,0.010588235
0.05,0.005555556,0.9,0.002222222,0.007777778,0.011111111,0.01
0.05,0.005555556,0.95,0.002105263,0.007368421,0.011111111,0.009473684
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.005555556,0.05,0,0.02,0.011111111,0.02
0.05,0.005555556,0.1,0,0.03,0.011111111,0.03
0.05,0.005555556,0.15,0.006666667,0.02,0.011111111,0.026666667
0.05,0.005555556,0.2,0.01,0.015,0.011111111,0.025
0.05,0.005555556,0.25,0.008,0.024,0.011111111,0.032
0.05,0.005555556,0.3,0.006666667,0.026666667,0.011111111,0.033333333
0.05,0.005555556,0.35,0.005714286,0.037142857,0.011111111,0.042857143
0.05,0.005555556,0.4,0.005,0.0325,0.011111111,0.0375
0.05,0.005555556,0.45,0.004444444,0.028888889,0.011111111,0.033333333
0.05,0.005555556,0.5,0.004,0.026,0.011111111,0.03
0.05,0.005555556,0.55,0.003636364,0.023636364,0.011111111,0.027272727
0.05,0.005555556,0.6,0.003333333,0.021666667,0.011111111,0.025
0.05,0.005555556,0.65,0.003076923,0.02,0.011111111,0.023076923
0.05,0.005555556,0.7,0.002857143,0.018571429,0.011111111,0.021428571
0.05,0.005555556,0.75,0.002666667,0.017333333,0.011111111,0.02
0.05,0.005555556,0.8,0.0025,0.01625,0.011111111,0.01875
0.05,0.005555556,0.85,0.002352941,0.015294118,0.011111111,0.017647059
0.05,0.005555556,0.9,0.002222222,0.014444444,0.011111111,0.016666667
0.05,0.005555556,0.95,0.002105263,0.013684211,0.011111111,0.015789474
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.005555556,0.05,0.02,0.02,0.011111111,0.04
0.05,0.005555556,0.1,0.02,0.04,0.011111111,0.06
0.05,0.005555556,0.15,0.02,0.033333333,0.011111111,0.053333333
0.05,0.005555556,0.2,0.02,0.035,0.011111111,0.055
0.05,0.005555556,0.25,0.016,0.032,0.011111111,0.048
0.05,0.005555556,0.3,0.013333333,0.03,0.011111111,0.043333333
0.05,0.005555556,0.35,0.014285714,0.025714286,0.011111111,0.04
0.05,0.005555556,0.4,0.0125,0.0225,0.011111111,0.035
0.05,0.005555556,0.45,0.011111111,0.02,0.011111111,0.031111111
0.05,0.005555556,0.5,0.01,0.018,0.011111111,0.028
0.05,0.005555556,0.55,0.009090909,0.016363636,0.011111111,0.025454545
0.05,0.005555556,0.6,0.008333333,0.015,0.011111111,0.023333333
0.05,0.005555556,0.65,0.007692308,0.013846154,0.011111111,0.021538462
0.05,0.005555556,0.7,0.007142857,0.012857143,0.011111111,0.02
0.05,0.005555556,0.75,0.006666667,0.012,0.011111111,0.018666667
0.05,0.005555556,0.8,0.00625,0.01125,0.011111111,0.0175
0.05,0.005555556,0.85,0.005882353,0.010588235,0.011111111,0.016470588
0.05,0.005555556,0.9,0.005555556,0.01,0.011111111,0.015555556
0.05,0.005555556,0.95,0.005263158,0.009473684,0.011111111,0.014736842
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.005555556,0.05,0,0.02,0.011111111,0.02
0.05,0.005555556,0.1,0.01,0.02,0.011111111,0.03
0.05,0.005555556,0.15,0.006666667,0.013333333,0.011111111,0.02
0.05,0.005555556,0.2,0.005,0.01,0.011111111,0.015
0.05,0.005555556,0.25,0.004,0.02,0.011111111,0.024
0.05,0.005555556,0.3,0.006666667,0.016666667,0.011111111,0.023333333
0.05,0.005555556,0.35,0.005714286,0.028571429,0.011111111,0.034285714
0.05,0.005555556,0.4,0.005,0.025,0.011111111,0.03
0.05,0.005555556,0.45,0.004444444,0.022222222,0.011111111,0.026666667
0.05,0.005555556,0.5,0.004,0.02,0.011111111,0.024
0.05,0.005555556,0.55,0.003636364,0.018181818,0.011111111,0.021818182
0.05,0.005555556,0.6,0.003333333,0.016666667,0.011111111,0.02
0.05,0.005555556,0.65,0.003076923,0.015384615,0.011111111,0.018461538
0.05,0.005555556,0.7,0.002857143,0.014285714,0.011111111,0.017142857
0.05,0.005555556,0.75,0.002666667,0.013333333,0.011111111,0.016
0.05,0.005555556,0.8,0.0025,0.0125,0.011111111,0.015
0.05,0.005555556,0.85,0.002352941,0.011764706,0.011111111,0.014117647
0.05,0.005555556,0.9,0.002222222,0.011111111,0.011111111,0.013333333
0.05,0.005555556,0.95,0.002105263,0.010526316,0.011111111,0.012631579
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.011111111,0.05,0,0,0.022222222,0
0.05,0.011111111,0.1,0,0,0.022222222,0
0.05,0.011111111,0.15,0,0,0.022222222,0
0.05,0.011111111,0.2,0.005,0.005,0.022222222,0.01
0.05,0.011111111,0.25,0.004,0.012,0.022222222,0.016
0.05,0.011111111,0.3,0.006666667,0.013333333,0.022222222,0.02
0.05,0.011111111,0.35,0.011428571,0.011428571,0.022222222,0.022857143
0.05,0.011111111,0.4,0.01,0.01,0.022222222,0.02
0.05,0.011111111,0.45,0.008888889,0.008888889,0.022222222,0.017777778
0.05,0.011111111,0.5,0.008,0.008,0.022222222,0.016
0.05,0.011111111,0.55,0.007272727,0.007272727,0.022222222,0.014545455
0.05,0.011111111,0.6,0.006666667,0.006666667,0.022222222,0.013333333
0.05,0.011111111,0.65,0.006153846,0.006153846,0.022222222,0.012307692
0.05,0.011111111,0.7,0.005714286,0.005714286,0.022222222,0.011428571
0.05,0.011111111,0.75,0.005333333,0.005333333,0.022222222,0.010666667
0.05,0.011111111,0.8,0.005,0.005,0.022222222,0.01
0.05,0.011111111,0.85,0.004705882,0.004705882,0.022222222,0.009411765
0.05,0.011111111,0.9,0.004444444,0.004444444,0.022222222,0.008888889
0.05,0.011111111,0.95,0.004210526,0.004210526,0.022222222,0.008421053
0.05,0.011111111,1,0.011,0.039,0.022222222,0.05
0.05,0.011111111,0.05,0,0,0.022222222,0
0.05,0.011111111,0.1,0.01,0.02,0.022222222,0.03
0.05,0.011111111,0.15,0.006666667,0.02,0.022222222,0.026666667
0.05,0.011111111,0.2,0.005,0.015,0.022222222,0.02
0.05,0.011111111,0.25,0.004,0.012,0.022222222,0.016
0.05,0.011111111,0.3,0.006666667,0.02,0.022222222,0.026666667
0.05,0.011111111,0.35,0.005714286,0.022857143,0.022222222,0.028571429
0.05,0.011111111,0.4,0.005,0.02,0.022222222,0.025
0.05,0.011111111,0.45,0.004444444,0.017777778,0.022222222,0.022222222
0.05,0.011111111,0.5,0.004,0.016,0.022222222,0.02
0.05,0.011111111,0.55,0.003636364,0.014545455,0.022222222,0.018181818
0.05,0.011111111,0.6,0.003333333,0.013333333,0.022222222,0.016666667
0.05,0.011111111,0.65,0.003076923,0.012307692,0.022222222,0.015384615
0.05,0.011111111,0.7,0.002857143,0.011428571,0.022222222,0.014285714
0.05,0.011111111,0.75,0.002666667,0.010666667,0.022222222,0.013333333
0.05,0.011111111,0.8,0.0025,0.01,0.022222222,0.0125
0.05,0.011111111,0.85,0.002352941,0.009411765,0.022222222,0.011764706
0.05,0.011111111,0.9,0.002222222,0.008888889,0.022222222,0.011111111
0.05,0.011111111,0.95,0.002105263,0.008421053,0.022222222,0.010526316
0.05,0.011111111,1,0.011,0.039,0.022222222,0.05
0.05,0.011111111,0.05,0,0,0.022222222,0
0.05,0.011111111,0.1,0.01,0.01,0.022222222,0.02
0.05,0.011111111,0.15,0.013333333,0.02,0.022222222,0.033333333
0.05,0.011111111,0.2,0.015,0.025,0.022222222,0.04
0.05,0.011111111,0.25,0.02,0.028,0.022222222,0.048
0.05,0.011111111,0.3,0.02,0.03,0.022222222,0.05
0.05,0.011111111,0.35,0.017142857,0.025714286,0.022222222,0.042857143
0.05,0.011111111,0.4,0.015,0.0225,0.022222222,0.0375
0.05,0.011111111,0.45,0.013333333,0.02,0.022222222,0.033333333
0.05,0.011111111,0.5,0.012,0.018,0.022222222,0.03
0.05,0.011111111,0.55,0.010909091,0.016363636,0.022222222,0.027272727
0.05,0.011111111,0.6,0.01,0.015,0.022222222,0.025
0.05,0.011111111,0.65,0.009230769,0.013846154,0.022222222,0.023076923
0.05,0.011111111,0.7,0.008571429,0.012857143,0.022222222,0.021428571
0.05,0.011111111,0.75,0.008,0.012,0.022222222,0.02
0.05,0.011111111,0.8,0.0075,0.01125,0.022222222,0.01875
0.05,0.011111111,0.85,0.007058824,0.010588235,0.022222222,0.017647059
0.05,0.011111111,0.9,0.006666667,0.01,0.022222222,0.016666667
0.05,0.011111111,0.95,0.006315789,0.009473684,0.022222222,0.015789474
0.05,0.011111111,1,0.011,0.039,0.022222222,0.05
