prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.0,0.25,0.0,0.156,0.0,0.156
0.0,0.3,0.0,0.17333333333333334,0.0,0.17333333333333334
0.0,0.35,0.0,0.1742857142857143,0.0,0.1742857142857143
0.0,0.4,0.0,0.1525,0.0,0.1525
0.0,0.45,0.0,0.13555555555555557,0.0,0.13555555555555557
0.0,0.5,0.0,0.122,0.0,0.122
0.0,0.55,0.0,0.11090909090909092,0.0,0.11090909090909092
0.0,0.6,0.0,0.10166666666666667,0.0,0.10166666666666667
0.0,0.65,0.0,0.09384615384615384,0.0,0.09384615384615384
0.0,0.7,0.0,0.08714285714285715,0.0,0.08714285714285715
0.0,0.75,0.0,0.08133333333333333,0.0,0.08133333333333333
0.0,0.8,0.0,0.07625,0.0,0.07625
0.0,0.85,0.0,0.07176470588235294,0.0,0.07176470588235294
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.08,0.0,0.08
0.0,0.1,0.0,0.13,0.0,0.13
0.0,0.15,0.0,0.15333333333333332,0.0,0.15333333333333332
0.0,0.2,0.0,0.19,0.0,0.19
0.0,0.25,0.0,0.212,0.0,0.212
0.0,0.3,0.0,0.22666666666666666,0.0,0.22666666666666666
0.0,0.35,0.0,0.22857142857142856,0.0,0.22857142857142856
0.0,0.4,0.0,0.205,0.0,0.205
0.0,0.45,0.0,0.18222222222222223,0.0,0.18222222222222223
0.0,0.5,0.0,0.164,0.0,0.164
0.0,0.55,0.0,0.14909090909090908,0.0,0.14909090909090908
0.0,0.6,0.0,0.13666666666666666,0.0,0.13666666666666666
0.0,0.65,0.0,0.12615384615384614,0.0,0.12615384615384614
0.0,0.7,0.0,0.11714285714285715,0.0,0.11714285714285715
0.0,0.75,0.0,0.10933333333333334,0.0,0.10933333333333334
0.0,0.8,0.0,0.1025,0.0,0.1025
0.0,0.85,0.0,0.09647058823529411,0.0,0.09647058823529411
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.06,0.0,0.06
0.0,0.1,0.0,0.05,0.0,0.05
0.0,0.15,0.0,0.1,0.0,0.1
0.0,0.2,0.0,0.13,0.0,0.13
0.0,0.25,0.0,0.136,0.0,0.136
0.0,0.3,0.0,0.13666666666666666,0.0,0.13666666666666666
0.0,0.35,0.0,0.1742857142857143,0.0,0.1742857142857143
0.0,0.4,0.0,0.155,0.0,0.155
0.0,0.45,0.0,0.13777777777777778,0.0,0.13777777777777778
0.0,0.5,0.0,0.124,0.0,0.124
0.0,0.55,0.0,0.11272727272727273,0.0,0.11272727272727273
0.0,0.6,0.0,0.10333333333333333,0.0,0.10333333333333333
0.0,0.65,0.0,0.09538461538461539,0.0,0.09538461538461539
0.0,0.7,0.0,0.08857142857142856,0.0,0.08857142857142856
0.0,0.75,0.0,0.08266666666666667,0.0,0.08266666666666667
0.0,0.8,0.0,0.0775,0.0,0.0775
0.0,0.85,0.0,0.07294117647058823,0.0,0.07294117647058823
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.08,0.0,0.08
0.0,0.1,0.0,0.12,0.0,0.12
0.0,0.15,0.0,0.14666666666666667,0.0,0.14666666666666667
0.0,0.2,0.0,0.14,0.0,0.14
0.0,0.25,0.0,0.144,0.0,0.144
0.0,0.3,0.0,0.18333333333333332,0.0,0.18333333333333332
0.0,0.35,0.0,0.18,0.0,0.18
0.0,0.4,0.0,0.165,0.0,0.165
0.0,0.45,0.0,0.14666666666666667,0.0,0.14666666666666667
0.0,0.5,0.0,0.132,0.0,0.132
0.0,0.55,0.0,0.12,0.0,0.12
0.0,0.6,0.0,0.11,0.0,0.11
0.0,0.65,0.0,0.10153846153846154,0.0,0.10153846153846154
0.0,0.7,0.0,0.09428571428571429,0.0,0.09428571428571429
0.0,0.75,0.0,0.088,0.0,0.088
0.0,0.8,0.0,0.0825,0.0,0.0825
0.0,0.85,0.0,0.07764705882352942,0.0,0.07764705882352942
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.08,0.0,0.08
0.0,0.1,0.0,0.11,0.0,0.11
0.0,0.15,0.0,0.12,0.0,0.12
0.0,0.2,0.0,0.115,0.0,0.115
0.0,0.25,0.0,0.116,0.0,0.116
0.0,0.3,0.0,0.13,0.0,0.13
0.0,0.35,0.0,0.1742857142857143,0.0,0.1742857142857143
0.0,0.4,0.0,0.1575,0.0,0.1575
0.0,0.45,0.0,0.14,0.0,0.14
0.0,0.5,0.0,0.126,0.0,0.126
0.0,0.55,0.0,0.11454545454545455,0.0,0.11454545454545455
0.0,0.6,0.0,0.105,0.0,0.105
0.0,0.65,0.0,0.09692307692307692,0.0,0.09692307692307692
0.0,0.7,0.0,0.09,0.0,0.09
0.0,0.75,0.0,0.084,0.0,0.084
0.0,0.8,0.0,0.07875,0.0,0.07875
0.0,0.85,0.0,0.07411764705882352,0.0,0.07411764705882352
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.1,0.0,0.1
0.0,0.1,0.0,0.1,0.0,0.1
0.0,0.15,0.0,0.16,0.0,0.16
0.0,0.2,0.0,0.165,0.0,0.165
0.0,0.25,0.0,0.176,0.0,0.176
0.0,0.3,0.0,0.16666666666666666,0.0,0.16666666666666666
0.0,0.35,0.0,0.19714285714285715,0.0,0.19714285714285715
0.0,0.4,0.0,0.18,0.0,0.18
0.0,0.45,0.0,0.16,0.0,0.16
0.0,0.5,0.0,0.144,0.0,0.144
0.0,0.55,0.0,0.13090909090909092,0.0,0.13090909090909092
0.0,0.6,0.0,0.12,0.0,0.12
0.0,0.65,0.0,0.11076923076923077,0.0,0.11076923076923077
0.0,0.7,0.0,0.10285714285714286,0.0,0.10285714285714286
0.0,0.75,0.0,0.096,0.0,0.096
