prop_min,prop_ally,beta,prop_ally_top_k,prop_min_top_k,iter
0.091,0.335,0.35,0.3357142857142857,0.10285714285714286,5
0.091,0.335,0.4,0.345,0.09875,5
0.091,0.335,0.45,0.3511111111111111,0.09444444444444444,5
0.091,0.335,0.5,0.343,0.093,5
0.091,0.335,0.55,0.3463636363636364,0.09454545454545454,5
0.091,0.335,0.6,0.3233333333333333,0.09083333333333334,5
0.091,0.335,0.65,0.29846153846153844,0.08384615384615385,5
0.091,0.335,0.7,0.27714285714285714,0.07785714285714286,5
0.091,0.335,0.75,0.25866666666666666,0.07266666666666667,5
0.091,0.335,0.8,0.2425,0.068125,5
0.091,0.335,0.85,0.2611764705882353,0.06411764705882353,5
0.091,0.335,0.9,0.3022222222222222,0.06055555555555556,5
0.091,0.335,0.95,0.3389473684210526,0.057368421052631575,5
0.091,0.335,1.0,0.3355,0.091,5
0.037,0.438,0.05,0.44,0.14,6
0.037,0.438,0.1,0.455,0.09,6
0.037,0.438,0.15,0.42,0.08,6
0.037,0.438,0.2,0.42,0.0775,6
0.037,0.438,0.25,0.428,0.07,6
0.037,0.438,0.3,0.42833333333333334,0.06333333333333334,6
0.037,0.438,0.35,0.42714285714285716,0.06428571428571428,6
0.037,0.438,0.4,0.43375,0.0575,6
0.037,0.438,0.45,0.4255555555555556,0.056666666666666664,6
0.037,0.438,0.5,0.424,0.055,6
