hc,prop_covert,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k,overt_inequity_score
0.1111111111111111,0.044444444444444446,0.0,0.06,0.2222222222222222,0.06,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.06,0.06,0.2222222222222222,0.12,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.02,0.1,0.2222222222222222,0.12000000000000001,0.6428571428571429
0.1111111111111111,0.044444444444444446,0.02,0.06,0.2222222222222222,0.08,0.3857142857142857
0.1111111111111111,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.1111111111111111,0.06666666666666667,0.04,0.12,0.3333333333333333,0.16,0.8999999999999998
0.1111111111111111,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.1111111111111111,0.06666666666666667,0.06,0.06,0.3333333333333333,0.12,0.4499999999999999
0.1111111111111111,0.06666666666666667,0.0,0.04,0.3333333333333333,0.04,0.29999999999999993
0.1111111111111111,0.06666666666666667,0.0,0.02,0.3333333333333333,0.02,0.14999999999999997
0.1111111111111111,0.06666666666666667,0.0,0.08,0.3333333333333333,0.08,0.5999999999999999
0.1111111111111111,0.06666666666666667,0.02,0.12,0.3333333333333333,0.13999999999999999,0.8999999999999998
0.1111111111111111,0.06666666666666667,0.0,0.06,0.3333333333333333,0.06,0.4499999999999999
0.1111111111111111,0.06666666666666667,0.02,0.04,0.3333333333333333,0.06,0.29999999999999993
0.1111111111111111,0.08888888888888889,0.04,0.04,0.4444444444444444,0.08,0.36
0.1111111111111111,0.08888888888888889,0.02,0.1,0.4444444444444444,0.12000000000000001,0.9
0.1111111111111111,0.08888888888888889,0.02,0.04,0.4444444444444444,0.06,0.36
0.1111111111111111,0.08888888888888889,0.02,0.02,0.4444444444444444,0.04,0.18
0.1111111111111111,0.08888888888888889,0.02,0.02,0.4444444444444444,0.04,0.18
0.1111111111111111,0.08888888888888889,0.0,0.02,0.4444444444444444,0.02,0.18
0.1111111111111111,0.08888888888888889,0.0,0.06,0.4444444444444444,0.06,0.5399999999999999
0.1111111111111111,0.08888888888888889,0.06,0.02,0.4444444444444444,0.08,0.18
0.1111111111111111,0.08888888888888889,0.02,0.08,0.4444444444444444,0.1,0.72
0.1111111111111111,0.08888888888888889,0.0,0.04,0.4444444444444444,0.04,0.36
0.1111111111111111,0.11111111111111112,0.0,0.02,0.5555555555555556,0.02,0.225
0.1111111111111111,0.11111111111111112,0.06,0.1,0.5555555555555556,0.16,1.125
0.1111111111111111,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.1111111111111111,0.11111111111111112,0.02,0.0,0.5555555555555556,0.02,0.0
0.1111111111111111,0.11111111111111112,0.1,0.08,0.5555555555555556,0.18,0.9
0.1111111111111111,0.11111111111111112,0.04,0.0,0.5555555555555556,0.04,0.0
0.1111111111111111,0.11111111111111112,0.04,0.06,0.5555555555555556,0.1,0.6749999999999999
0.1111111111111111,0.11111111111111112,0.04,0.02,0.5555555555555556,0.06,0.225
0.1111111111111111,0.11111111111111112,0.02,0.12,0.5555555555555556,0.13999999999999999,1.3499999999999999
0.1111111111111111,0.11111111111111112,0.0,0.04,0.5555555555555556,0.04,0.45
0.1111111111111111,0.13333333333333333,0.04,0.0,0.6666666666666666,0.04,0.0
0.1111111111111111,0.13333333333333333,0.02,0.02,0.6666666666666666,0.04,0.29999999999999993
0.1111111111111111,0.13333333333333333,0.04,0.06,0.6666666666666666,0.1,0.8999999999999998
0.1111111111111111,0.13333333333333333,0.02,0.0,0.6666666666666666,0.02,0.0
0.1111111111111111,0.13333333333333333,0.06,0.06,0.6666666666666666,0.12,0.8999999999999998
